"Patate al gratin savoyard, preparate",75
"Patate fritte, al forno (non salate)",232
"Patate fritte (olio di girasole HO), non salate",286
"Patate fritte al forno, surgelate",127
"Patate, pelate, al vapore",75
"Patate, pelate, crude",76
"Patatine a ridotto contenuto di grassi",468
"Patä di campgagna",391
"Peperone rosso, crudo",32
"Peperone verde, crudo",20
"Peperone, rosso, stufato",39
"Peperone, verde, stufato",25
"Pera, cruda",58
"Pere, cotte, sgocciolate (senza zucchero)",61
"Pere, non zuccherate, conserva",58
"Pere, secche",289
"Pere, zuccherate, conserva",92
"Pesca noce, cruda",51
"Pesca, cruda",48
"Pesce (media), crudo",146
"Pesce (media), filetto, al vapore (senza grassi)",146
"Pesce Persico, crudo",79
"Pesche, non zuccherate, conserva",39
"Pesche, zuccherate, conserva",75
"Pesto rosso",398
"Pesto verde",430
"Petit Beurre",431
"Petit Beurre con cioccolato",482
"Petit Beurre, integrale",426
"Piccata di maiale, preparata",226
"Piccata di melanzane, preparata",140
"Piccata di sedano rapa, preparata",133
"Piccata di vitello, preparata",217
"Piccata di zucca, preparata",136
"Piccata di zucchina, preparata",124
"Pinoli",688
"Piselli (conserva), riscaldati",89
"Piselli e carote, (conserva), riscaldati",68
"Piselli e carote, conserva",67
"Piselli, conserva",87
"Piselli, semi maturi, decorticati, cotti (no grassi)",137
"Piselli, semi maturi, decorticati, secchi",331
"Piselli, verdi, al vapore (senza sale)",100
"Pisello, crudo",90
"Pistacchi",594
"Pizza al tonno, in forno",226
"Pizza alle verdure, in forno",124
"Pizza Calzone, in forno",224
"Pizza con mascarpone e rucola, in forno",239
"Pizza Hawaii, in forno",195
"Pizza Margherita, in forno",238
"Pizza Prosciutto e Funghi, in forno",204
"Pizza Prosciutto, in forno",218
"Pizza Quattro Formaggi, in forno",297
"Polenta nera, preparata",111
"Pollo, coscia con pelle, arrostita (senza grassi)",187
"Pollo, coscia con pelle, cruda",163
"Pollo, coscia senza pelle, cruda",135
"Pollo, intero con pelle, arrostito (senza grassi)",193
"Pollo, intero con pelle, crudo",168
"Pollo, petto con pelle, crudo",152
"Pollo, petto senza pelle, crudo",107
"Pollo, petto, fettina o sminuzzato, cotto in padella (no grassi)",128
"Polpettone, al forno",166
"Pommes Chips",538
"Pomodoro, crudo",21
"Pomodoro, pelato, conserva",20
"Pomodoro, secco",210
"Pomodoro, stufato (senza grassi)",26
"Pompelmo (bianco o rosso), crudo",30
"Popcorn",367
"Porro, crudo",30
"Porro, stufato",31
"Prezzemolo, fresco",58
"Prosciutto arrotolato",181
"Prosciutto arrotolato, cotto (senza grassi)",188
"Prosciutto cotto di coscia",104
"Prosciutto cotto di spalla",106
"Prosciutto, crudo",229
